Menu,Price,Rating,Review,Category
Coca-Cola Zero 30cl,1.7,4.7,89.0,Bebida
Coca-Cola 33cl,2.29,4.4,32.0,Bebida
Coca-Cola Zero 33cl,2.29,4.4,32.0,Bebida
Coca-Cola,2.2,4.7,166.0,Bebida
Coca-Cola,1.9,4.3,25.0,Bebida
Coca-Cola Zero,1.9,4.3,25.0,Bebida
Coca-Cola 1L,2.3,4.3,25.0,Bebida
Coca-Cola 1.5L,2.8,4.3,25.0,Bebida
Coca-Cola,2.3,4.7,110.0,Bebida
Coca-Cola Sem Açúcar,2.3,4.7,110.0,Bebida
Coca-Cola Zero 33cl,1.5,4.4,359.0,Bebida
Coca-Cola,1.5,4.4,359.0,Bebida
Coca-Cola 33cl,2.5,4.2,19.0,Bebida
Coca-Cola Zero,2.5,4.2,19.0,Bebida
Coca-Cola,1.47,4.6,1020.0,Bebida
Coca-Cola Zero,1.47,4.6,1020.0,Bebida
Coca-Cola 33cl,2.8,4.6,500.0,Bebida
Coca-Cola Zero 33cl,2.8,4.6,500.0,Bebida
Coca-Cola 1.5L,2.9,4.4,77.0,Bebida
Coca-Cola,2.0,4.4,77.0,Bebida
Coca-Cola,3.1,4.1,13.0,Bebida
Coca-Cola,2.09,4.2,13.0,Bebida
Coca-Cola Zero,2.0,4.2,13.0,Bebida
Coca-Cola,3.49,4.7,13.0,Bebida
Coca-Cola,1.6,4.7,13.0,Bebida
Coca-Cola 1.5L,2.99,5.0,14.0,Bebida
Coca-Cola Zero 1.5L,2.99,5.0,14.0,Bebida
Coca-Cola 33cl,2.35,5.0,14.0,Bebida
Coca-Cola Zero 33cl,2.35,5.0,14.0,Bebida
Coca-Cola Zero,2.0,4.0,33.0,Bebida
Coca-Cola,2.0,4.0,33.0,Bebida
Coca-Cola,3.0,4.6,313.0,Bebida
Coca-Cola Zero,3.0,4.6,313.0,Bebida
Coca-Cola,1.85,4.9,36.0,Bebida
Coca-Cola Zero,1.85,4.9,36.0,Bebida
Coca-Cola,2.3,4.7,178.0,Bebida
Coca-Cola Zero,2.3,4.7,178.0,Bebida
Coca-Cola Sem Açúcar 1.5L,3.6,4.7,178.0,Bebida
Coca-Cola 1.5L,3.6,4.7,178.0,Bebida
Coca-Cola Zero,3.0,4.6,2740.0,Bebida
Coca-Cola,3.0,4.6,2740.0,Bebida
Coca-Cola,2.2,5.0,36.0,Bebida
Coca-Cola Zero,2.2,5.0,36.0,Bebida
